order_item_id,order_id,product_id,quantity,unit_price,discount_pct
1,1,21,1,76.3,0.0
2,1,32,1,89.14,2.1
3,2,42,2,86.85,14.4
4,2,14,1,62.3,0.0
5,3,19,1,31.17,5.4
6,4,23,1,126.32,0.0
7,5,33,1,93.81,0.0
8,6,45,1,34.63,6.1
9,7,25,1,86.89,0.0
10,8,35,2,21.04,0.6
11,9,9,1,71.64,0.0
12,10,11,1,91.57,10.1
13,10,17,1,47.08,12.6
14,11,47,1,66.27,2.0
15,12,1,1,106.5,0.0
16,13,46,1,36.72,3.4
17,14,20,1,44.52,5.1
18,15,21,1,75.51,1.0
19,16,5,1,32.48,0.0
20,17,56,1,62.06,4.1
21,17,11,1,101.87,0.0
22,18,25,1,86.89,0.0
23,18,57,1,53.09,3.7
24,19,11,2,93.73,8.0
25,19,63,1,21.31,6.6
26,20,65,1,30.89,0.1
27,21,63,2,22.82,0.0
28,21,34,1,78.34,0.0
29,22,30,1,27.62,8.6
30,22,10,1,118.73,0.7
31,23,57,1,54.97,0.3
32,23,44,1,94.26,6.9
33,23,29,1,70.77,3.4
34,24,9,2,71.64,0.0
35,25,48,1,52.0,6.2
36,25,5,1,32.48,0.0
37,25,20,1,44.92,4.2
38,26,29,2,68.17,6.9
39,27,39,1,51.5,6.3
40,28,65,2,30.93,0.0
41,28,32,1,91.06,0.0
42,29,47,1,61.65,8.8
43,30,12,1,147.67,0.0
44,30,59,1,110.3,3.3
45,30,33,1,87.31,6.9
46,31,51,1,126.9,3.9
47,32,19,1,31.4,4.7
48,33,53,1,114.7,1.5
49,33,30,1,30.24,0.0
50,34,59,1,114.03,0.0
51,35,48,1,48.72,12.1
52,36,42,1,87.23,14.1
53,36,49,1,52.58,0.0
54,37,47,1,64.76,4.2
55,38,7,1,97.49,5.1
56,38,30,2,29.68,1.9
57,39,37,1,104.69,3.2
58,40,8,1,63.67,0.4
59,41,26,1,34.53,1.5
60,42,16,1,109.82,8.8
61,43,55,1,32.94,0.0
62,43,49,1,50.11,4.7
63,43,1,2,106.5,0.0
64,44,42,1,86.15,15.1
65,45,18,1,58.36,11.4
66,46,39,2,46.31,15.8
67,47,25,1,86.89,0.0
68,48,1,1,106.5,0.0
69,48,18,1,63.71,3.3
70,49,38,1,22.18,4.1
71,50,22,1,92.56,1.6
72,50,31,1,93.12,2.3
73,51,26,1,32.58,7.0
74,51,31,1,90.31,5.3
75,52,4,1,109.91,5.7
76,53,20,1,44.93,4.2
77,54,44,1,99.58,1.7
78,54,13,1,88.47,10.4
79,55,2,2,114.96,8.6
80,56,7,2,95.4,7.1
81,56,63,1,20.61,9.7
82,56,57,1,55.12,0.0
83,57,53,1,105.17,9.7
84,58,38,1,23.13,0.0
85,59,53,2,106.29,8.8
86,59,19,1,32.0,2.9
87,60,26,1,32.35,7.7
88,61,24,3,57.19,3.3
89,62,16,1,118.55,1.6
90,63,14,1,61.05,2.0
91,64,66,1,40.42,6.0
92,64,21,1,72.65,4.8
93,65,6,1,57.88,16.8
94,66,41,1,85.88,7.6
95,67,16,1,120.44,0.0
96,68,60,1,71.27,0.0
97,69,59,1,114.03,0.0
98,70,42,1,101.51,0.0
99,71,57,1,55.12,0.0
100,71,20,1,40.91,12.8
101,72,12,2,139.66,5.4
102,73,9,2,69.29,3.3
103,74,13,1,96.52,2.2
104,75,15,1,37.8,0.8
105,75,54,2,62.74,4.3
106,76,26,1,33.55,4.3
107,77,48,1,52.03,6.2
108,77,49,1,52.58,0.0
109,78,50,1,35.17,3.4
110,79,6,2,67.6,2.8
111,80,27,3,109.23,5.6
112,81,55,3,31.34,4.9
113,82,43,1,17.73,1.6
114,83,9,1,71.64,0.0
115,83,57,1,50.98,7.5
116,84,36,1,36.4,13.1
117,84,9,1,67.06,6.4
118,85,35,1,21.17,0.0
119,86,31,1,89.27,6.4
120,87,2,1,119.75,4.8
121,88,56,1,56.05,13.4
122,89,26,1,35.05,0.0
123,90,42,1,100.02,1.5
124,91,51,1,128.18,2.9
125,91,62,1,27.06,0.3
126,91,11,2,97.6,4.2
127,92,7,1,98.55,4.0
128,92,4,1,104.25,10.6
129,93,36,1,38.47,8.2
130,94,56,1,58.52,9.6
131,94,53,1,111.84,4.0
132,95,43,1,17.57,2.5
133,96,3,1,30.62,8.1
134,96,51,1,132.04,0.0
135,96,62,1,27.15,0.0
136,97,43,1,17.77,1.4
137,98,50,1,36.11,0.8
138,99,54,2,59.16,9.8
139,100,57,1,52.44,4.9
140,101,48,1,55.44,0.0
141,101,57,1,55.12,0.0
142,102,35,1,20.68,2.3
143,103,21,2,74.26,2.7
144,103,5,1,32.48,0.0
145,104,10,1,119.54,0.0
146,105,31,2,95.3,0.0
147,105,56,1,62.0,4.2
148,106,60,1,63.72,10.6
149,107,34,1,72.35,7.6
150,107,1,1,102.83,3.4
151,108,4,1,116.58,0.0
152,108,21,1,69.38,9.1
153,109,27,1,101.55,12.2
154,110,58,1,39.61,7.8
155,111,9,1,70.36,1.8
156,112,42,1,99.31,2.2
157,113,26,1,32.55,7.1
158,114,9,1,71.64,0.0
159,114,59,1,103.36,9.4
160,115,16,1,107.37,10.8
161,116,24,1,56.82,4.0
162,116,11,1,90.39,11.3
163,117,9,2,61.68,13.9
164,118,14,1,56.37,9.5
165,119,64,1,50.33,0.0
166,119,14,2,60.96,2.2
167,120,8,1,58.52,8.5
168,121,43,1,18.02,0.0
169,122,40,1,84.81,6.3
170,122,6,1,67.95,2.3
171,123,25,1,74.9,13.8
172,124,10,1,119.54,0.0
173,125,34,1,77.19,1.5
174,126,56,1,64.11,1.0
175,127,59,1,110.71,2.9
176,128,4,2,103.9,10.9
177,128,53,1,110.3,5.3
178,129,13,1,89.55,9.3
179,129,54,2,61.11,6.8
180,130,25,1,84.68,2.5
181,131,64,1,46.45,7.7
182,132,10,1,116.27,2.7
183,132,63,1,22.13,3.0
184,133,55,1,32.94,0.0
185,134,47,1,66.12,2.2
186,135,50,1,33.24,8.7
187,136,23,1,121.76,3.6
188,136,14,3,60.18,3.4
189,137,9,1,67.96,5.1
190,138,30,1,27.32,9.7
191,138,39,1,51.14,7.0
192,139,1,1,88.99,16.4
193,139,53,1,111.29,4.5
194,140,13,1,97.98,0.7
195,141,20,1,45.43,3.1
196,141,30,1,30.24,0.0
197,142,22,1,90.99,3.3
198,143,24,1,48.82,17.5
199,144,51,1,125.15,5.2
200,144,65,1,30.15,2.5
201,145,1,2,97.1,8.8
202,145,56,1,60.66,6.3
203,146,34,1,76.95,1.8
204,147,6,1,69.53,0.0
205,148,32,2,90.08,1.1
206,149,35,1,21.17,0.0
207,149,5,1,32.4,0.2
208,150,23,1,121.92,3.5
209,151,40,2,84.92,6.2
210,152,33,1,83.8,10.7
211,152,30,1,29.38,2.9
212,153,45,1,35.39,4.1
213,154,8,1,61.56,3.7
214,155,44,1,99.19,2.1
215,156,20,1,44.71,4.7
216,156,49,2,51.25,2.5
217,157,49,1,52.58,0.0
218,158,22,1,85.56,9.1
219,158,3,1,33.32,0.0
220,159,16,1,117.64,2.3
221,160,64,1,50.33,0.0
222,161,52,1,52.9,6.0
223,162,37,1,104.05,3.7
224,163,28,2,109.29,0.0
225,163,61,1,82.57,8.6
226,164,26,2,34.26,2.3
227,165,60,1,71.27,0.0
228,165,55,1,32.92,0.0
229,165,32,1,89.9,1.3
230,166,36,1,41.88,0.0
231,166,4,1,116.58,0.0
232,166,21,1,67.87,11.0
233,167,61,1,90.36,0.0
234,168,43,1,18.02,0.0
235,169,23,1,124.87,1.2
236,170,16,1,118.54,1.6
237,171,66,1,42.98,0.0
238,171,29,1,66.72,8.9
239,171,31,1,90.03,5.6
240,172,4,1,112.97,3.1
241,173,21,1,66.74,12.5
242,174,30,1,27.01,10.7
243,175,58,1,41.59,3.2
244,176,36,1,39.48,5.7
