order_id,customer_id,employee_id,order_date,channel
1,39,13,2025-01-01,Meta Ads
2,328,15,2025-01-01,Referral
3,545,8,2025-01-01,Organic Search
4,629,14,2025-01-01,Email
5,83,,2025-01-01,Email
6,834,12,2025-01-01,Referral
7,719,,2025-01-01,Organic Search
8,388,7,2025-01-02,Google Ads
9,114,,2025-01-02,Email
10,4,21,2025-01-02,Meta Ads
11,423,,2025-01-02,Email
12,596,25,2025-01-02,Email
13,162,,2025-01-02,Meta Ads
14,57,,2025-01-03,Meta Ads
15,254,25,2025-01-03,Google Ads
16,806,7,2025-01-03,Meta Ads
17,113,,2025-01-03,Meta Ads
18,157,,2025-01-03,Google Ads
19,139,16,2025-01-03,Organic Search
20,395,20,2025-01-03,Google Ads
21,790,6,2025-01-03,Affiliate
22,480,16,2025-01-03,Organic Search
23,335,20,2025-01-03,Meta Ads
24,487,,2025-01-04,Google Ads
25,728,,2025-01-04,Affiliate
26,247,,2025-01-04,Meta Ads
27,573,7,2025-01-04,Affiliate
28,808,12,2025-01-05,Meta Ads
29,627,10,2025-01-05,Affiliate
30,674,9,2025-01-05,Email
31,186,6,2025-01-05,Meta Ads
32,189,16,2025-01-06,Organic Search
33,588,12,2025-01-06,Email
34,831,14,2025-01-06,Organic Search
35,763,8,2025-01-06,Email
36,276,,2025-01-06,Organic Search
37,567,20,2025-01-07,Organic Search
38,321,,2025-01-07,Email
39,686,8,2025-01-07,Email
40,216,,2025-01-07,Organic Search
41,796,12,2025-01-07,Affiliate
42,494,7,2025-01-07,Meta Ads
43,401,21,2025-01-07,Google Ads
44,437,,2025-01-07,Referral
45,702,25,2025-01-08,Referral
46,391,24,2025-01-08,Organic Search
47,168,21,2025-01-08,Organic Search
48,264,25,2025-01-08,Organic Search
49,554,,2025-01-08,Google Ads
50,653,8,2025-01-08,Organic Search
51,475,13,2025-01-08,Organic Search
52,353,13,2025-01-08,Affiliate
53,435,11,2025-01-08,Google Ads
54,355,14,2025-01-08,Google Ads
55,678,10,2025-01-09,Organic Search
56,305,,2025-01-09,Email
57,105,14,2025-01-09,Organic Search
58,803,8,2025-01-09,Referral
59,669,,2025-01-09,Meta Ads
60,779,,2025-01-09,Meta Ads
61,209,20,2025-01-09,Email
62,309,24,2025-01-09,Google Ads
63,212,,2025-01-09,Organic Search
64,659,16,2025-01-09,Affiliate
65,620,7,2025-01-09,Affiliate
66,552,,2025-01-10,Affiliate
67,241,20,2025-01-10,Meta Ads
68,491,14,2025-01-10,Google Ads
69,390,20,2025-01-10,Referral
70,683,21,2025-01-10,Affiliate
71,60,,2025-01-10,Organic Search
72,195,,2025-01-10,Meta Ads
73,359,,2025-01-11,Email
74,8,25,2025-01-11,Email
75,640,10,2025-01-11,Meta Ads
76,492,,2025-01-11,Email
77,785,,2025-01-11,Affiliate
78,239,21,2025-01-11,Google Ads
79,2,14,2025-01-11,Affiliate
80,64,,2025-01-11,Email
81,744,,2025-01-12,Affiliate
82,318,,2025-01-12,Email
83,579,17,2025-01-12,Affiliate
84,1,21,2025-01-12,Affiliate
85,184,16,2025-01-12,Google Ads
86,46,,2025-01-13,Email
87,516,7,2025-01-13,Email
88,745,,2025-01-13,Organic Search
89,494,7,2025-01-13,Referral
90,54,23,2025-01-13,Affiliate
91,834,15,2025-01-13,Google Ads
92,688,17,2025-01-13,Meta Ads
93,223,,2025-01-13,Affiliate
94,363,18,2025-01-13,Affiliate
95,625,21,2025-01-14,Referral
96,511,,2025-01-14,Referral
97,642,16,2025-01-14,Meta Ads
98,801,,2025-01-14,Referral
99,713,24,2025-01-14,Referral
100,760,10,2025-01-14,Email
101,79,14,2025-01-14,Google Ads
102,556,,2025-01-14,Meta Ads
103,165,13,2025-01-15,Affiliate
104,676,13,2025-01-15,Email
105,806,7,2025-01-15,Email
106,362,,2025-01-15,Google Ads
107,24,9,2025-01-16,Email
108,116,9,2025-01-16,Google Ads
109,441,16,2025-01-16,Google Ads
110,556,,2025-01-16,Email
111,22,14,2025-01-16,Referral
112,825,22,2025-01-16,Meta Ads
113,16,,2025-01-17,Meta Ads
114,810,6,2025-01-17,Google Ads
115,761,,2025-01-17,Email
116,3,,2025-01-17,Affiliate
117,701,,2025-01-17,Affiliate
118,128,,2025-01-17,Email
119,349,7,2025-01-17,Email
120,303,7,2025-01-17,Organic Search
121,507,18,2025-01-17,Referral
122,148,7,2025-01-18,Google Ads
123,302,,2025-01-18,Google Ads
124,30,20,2025-01-18,Google Ads
125,1,25,2025-01-18,Referral
126,24,6,2025-01-18,Affiliate
127,168,,2025-01-18,Affiliate
128,170,11,2025-01-18,Referral
129,360,19,2025-01-18,Email
130,361,,2025-01-18,Affiliate
131,107,19,2025-01-18,Organic Search
132,471,,2025-01-18,Referral
133,648,6,2025-01-18,Referral
134,432,8,2025-01-18,Affiliate
135,536,,2025-01-18,Referral
136,741,17,2025-01-18,Google Ads
137,701,,2025-01-19,Referral
138,533,,2025-01-19,Meta Ads
139,586,,2025-01-19,Organic Search
140,586,,2025-01-19,Affiliate
141,521,,2025-01-19,Affiliate
142,518,21,2025-01-20,Email
143,276,,2025-01-20,Affiliate
144,191,6,2025-01-20,Organic Search
145,800,16,2025-01-20,Affiliate
146,633,23,2025-01-20,Affiliate
147,322,11,2025-01-20,Google Ads
148,292,13,2025-01-21,Organic Search
149,810,9,2025-01-21,Organic Search
150,827,,2025-01-21,Email
151,826,,2025-01-21,Organic Search
152,836,14,2025-01-21,Referral
153,615,19,2025-01-22,Meta Ads
154,337,,2025-01-22,Affiliate
155,683,23,2025-01-22,Referral
156,30,20,2025-01-22,Meta Ads
157,826,,2025-01-22,Affiliate
158,257,20,2025-01-22,Email
159,32,20,2025-01-23,Google Ads
160,83,,2025-01-23,Organic Search
161,366,16,2025-01-23,Meta Ads
162,649,22,2025-01-23,Organic Search
163,778,,2025-01-23,Meta Ads
164,722,10,2025-01-23,Meta Ads
165,242,7,2025-01-23,Google Ads
166,572,,2025-01-23,Email
167,155,,2025-01-23,Google Ads
168,748,,2025-01-23,Affiliate
169,462,,2025-01-24,Email
170,751,,2025-01-24,Affiliate
171,77,,2025-01-24,Affiliate
172,426,13,2025-01-24,Affiliate
173,604,,2025-01-24,Referral
174,776,7,2025-01-24,Referral
175,774,18,2025-01-25,Referral
176,111,22,2025-01-25,Email
177,818,12,2025-01-25,Referral
178,416,,2025-01-25,Referral
179,646,8,2025-01-25,Organic Search
180,274,,2025-01-26,Referral
181,494,7,2025-01-26,Affiliate
182,475,13,2025-01-26,Google Ads
183,713,22,2025-01-26,Organic Search
184,78,6,2025-01-27,Affiliate
185,776,7,2025-01-27,Referral
186,73,8,2025-01-27,Organic Search
187,693,7,2025-01-27,Referral
188,165,13,2025-01-28,Email
189,48,19,2025-01-28,Referral
190,155,20,2025-01-28,Meta Ads
191,739,16,2025-01-28,Email
192,700,8,2025-01-28,Email
193,122,7,2025-01-28,Meta Ads
194,41,6,2025-01-28,Organic Search
195,602,24,2025-01-28,Affiliate
196,14,14,2025-01-29,Google Ads
197,220,14,2025-01-29,Affiliate
198,553,21,2025-01-29,Google Ads
199,725,21,2025-01-29,Email
200,27,,2025-01-29,Referral
201,571,,2025-01-29,Organic Search
202,614,6,2025-01-30,Email
203,472,7,2025-01-30,Google Ads
204,552,,2025-01-30,Referral
205,432,8,2025-01-30,Referral
206,381,,2025-01-30,Email
207,32,20,2025-01-30,Meta Ads
208,213,,2025-01-30,Referral
209,489,,2025-01-31,Organic Search
210,788,,2025-01-31,Google Ads
211,454,11,2025-01-31,Email
212,591,,2025-01-31,Organic Search
213,135,12,2025-01-31,Meta Ads
214,477,24,2025-01-31,Affiliate
215,550,16,2025-01-31,Email
216,516,7,2025-01-31,Meta Ads
217,386,16,2025-02-01,Referral
218,271,,2025-02-01,Affiliate
219,53,,2025-02-01,Organic Search
220,736,13,2025-02-01,Referral
